
GrupoA

~/ensino/private/comp/e2/GrupoA ~/ensino/private/comp/e2
mkdir -p ./build
bison  --defines=./build/parser.h --output=./build/parser.c src/parser.y
flex -i -I -c -o build/lex_scanner.c ./src/scanner.l
gcc    -c -o build/lex_scanner.o build/lex_scanner.c
gcc    -c -o build/parser.o build/parser.c
gcc -g -Wall -I./include -I./build -lfl -c -o build/main.o src/main.c
gcc -g -Wall -I./include -I./build -lfl -o etapa2 build/lex_scanner.o build/parser.o build/main.o
GrupoC - asl52 - 1 - "syntax error at line 7 UNEXPECTED token "+" "
GrupoC - asl53 - 0 - ""
GrupoC - asl54 - 0 - ""
GrupoC - asl55 - 1 - "syntax error at line 5 UNEXPECTED token "." "
GrupoC - asl56 - 0 - ""
GrupoC - asl57 - 0 - ""
GrupoC - asl58 - 0 - ""
GrupoC - asl59 - 0 - ""
GrupoC - asl60 - 0 - ""
GrupoC - asl61 - 1 - "syntax error at line 4 UNEXPECTED token "case" "
GrupoC - asl62 - 0 - ""
GrupoC - asl63 - 0 - ""
GrupoC - asl64 - 1 - "syntax error at line 6 UNEXPECTED token "foreach" "
GrupoC - asl65 - 0 - ""
GrupoC - asl66 - 0 - ""
GrupoC - asl67 - 1 - "syntax error at line 5 UNEXPECTED token "do" "
GrupoC - asl68 - 1 - "syntax error at line 4 UNEXPECTED token "output" "
GrupoC - asl69 - 1 - "syntax error at line 4 UNEXPECTED token "case" "
GrupoC - asl70 - 1 - "syntax error at line 6 UNEXPECTED token "switch" "
GrupoC - asl71 - 1 - "syntax error at line 6 UNEXPECTED token "do" "
GrupoC - asl72 - 1 - "syntax error at line 5 UNEXPECTED token "%" "
GrupoC - asl73 - 1 - "syntax error at line 5 UNEXPECTED token "%" "
GrupoC - asl74 - 1 - "syntax error at line 5 UNEXPECTED token "%" "
GrupoC - asl75 - 1 - "syntax error at line 5 UNEXPECTED token ">" "
GrupoC - asl76 - 0 - ""
GrupoC - asl77 - 0 - ""
GrupoC - asl78 - 0 - ""
GrupoC - asl79 - 0 - ""
GrupoC - asl80 - 0 - ""
GrupoC - asl81 - 0 - ""
GrupoC - asl82 - 1 - "syntax error at line 2 UNEXPECTED token ";" "
GrupoC - asl83 - 1 - "syntax error at line 2 UNEXPECTED token ";" "
GrupoC - asl84 - 1 - "syntax error at line 3 UNEXPECTED token "float" "
GrupoC - asl85 - 1 - "syntax error at line 4 UNEXPECTED token ";" "
GrupoC - asl86 - 1 - "syntax error at line 2 UNEXPECTED token ")" "
GrupoC - asl87 - 1 - "syntax error at line 6 UNEXPECTED token "a" "
GrupoC - asl88 - 1 - "syntax error at line 6 UNEXPECTED token "}" "
GrupoC - asl89 - 1 - "syntax error at line 4 UNEXPECTED token ";" "
GrupoC - asl90 - 1 - "syntax error at line 7 UNEXPECTED token "," "
GrupoC - asl91 - 1 - "syntax error at line 7 UNEXPECTED token "," "
